id,title,type
140,An Awfully Big Adventure,movie
141,The Moguls,movie
142,Apollo 13,movie
143,Rob Roy,movie
144,Basic Instinct 2,movie
145,Batman Forever,movie
146,Belle de jour,movie
147,Beyond Rangoon,movie
148,Blue in the Face,movie
149,Canadian Bacon,movie
150,Casper,movie
151,Clockers,movie
152,Congo,movie
153,Crimson Tide,movie
154,Crumb,movie
155,Desperado,movie
156,Devil in a Blue Dress,movie
157,Die Hard: With a Vengeance,movie
158,The Doom Generation,movie
159,Feast of July,movie
160,First Knight,movie
161,Free Willy 2: The Adventure Home,movie
162,Hackers,movie
163,Jeffrey,movie
164,Johnny Mnemonic,movie
165,Judge Dredd,movie
166,Jury Duty,movie
167,Kids,movie
168,Living in Oblivion,movie
169,Lord of Illusions,movie
170,Love & Human Remains,movie
171,Mad Love,movie
172,Mallrats,movie
173,Mighty Morphin Power Rangers: The Movie,movie
174,Moonlight and Valentino,movie
175,Mute Witness,movie
176,Nadja,movie
177,The Net,movie
178,Nine Months,movie
179,Party Girl,movie
180,The Prophecy,movie
181,The Reckless Moment,movie
182,Fail-Safe,movie
183,The Scarlet Letter,movie
184,Showgirls,movie
185,Smoke,movie
186,Something to Talk About,movie
187,Species,movie
188,The Stars Fell on Henrietta,movie
189,Strange Days,movie
190,Les parapluies de Cherbourg,movie
191,The Tie That Binds,movie
192,Three Wishes,movie
193,Total Eclipse,movie
194,"To Wong Foo Thanks for Everything, Julie Newmar",movie
195,Under Siege 2: Dark Territory,movie
196,Unstrung Heroes,movie
197,Unzipped,movie
198,A Walk in the Clouds,movie
199,Waterworld,movie
200,White Man's Burden,movie
201,Wild Bill,movie
202,The Browning Version,movie
203,Bushwhacked,movie
204,Utomlyonnye solntsem,movie
205,Before the Rain,movie
206,Before Sunrise,movie
207,Billy Madison,movie
208,The Babysitters,movie
209,Boys on the Side,movie
210,The Cure,movie
211,Castle Freak,movie
212,Circle of Friends,movie
213,Clerks.,movie
214,Don Juan DeMarco,movie
215,Disclosure,movie
216,Tucker: The Man and His Dream,movie
217,Drop Zone,movie
218,Destiny Turns on the Radio,movie
219,Death and the Maiden,movie
220,Dolores Claiborne,movie
221,Dumb & Dumber,movie
222,Yin shi nan nu,movie
223,Exotica,movie
224,Exit to Eden,movie
225,Ed Wood,movie
226,French Kiss,movie
227,Forget Paris,movie
228,Far from Home: The Adventures of Yellow Dog,movie
229,A Goofy Movie,movie
230,Hideaway,movie
231,Fluke,movie
232,Farinelli,movie
233,Flash Gordon,movie
234,Gumby: The Movie,movie
235,The Glass Shield,movie
236,Hoop Dreams,movie
237,Heavenly Creatures,movie
238,Houseguest,movie
239,Immortal Beloved,movie
240,Heavy Weights,movie
241,The Hunted,movie
242,I.Q.,movie
243,Interview with the Vampire: The Vampire Chronicles,movie
244,Jefferson in Paris,movie
245,The Jerky Boys,movie
246,Junior,movie
247,Just Cause,movie
248,A Kid in King Arthur's Court,movie
249,Kiss of Death,movie
250,Star Wars,movie
251,Little Women,movie
252,A Little Princess,movie
253,Ladybird Ladybird,movie
254,L'enfer,movie
255,Como agua para chocolate,movie
256,Legends of the Fall,movie
257,Major Payne,movie
258,Little Odessa,movie
259,Mi vida loca,movie
260,Love Affair,movie
261,Losing Isaiah,movie
262,The Madness of King George,movie
263,Frankenstein,movie
264,Man of the House,movie
265,Mixed Nuts,movie
266,Milk Money,movie
267,Miracle on 34th Street,movie
268,Miami Rhapsody,movie
269,My Family,movie
270,Murder in the First,movie
271,Nobody's Fool,movie
272,Nell,movie
273,New Jersey Drive,movie
274,Ny?Yôku no koppu,movie
275,Beyond Bedlam,movie
276,Nemesis 2: Nebula,movie
277,Nina Takes a Lover,movie
278,Natural Born Killers,movie
279,Only You,movie
280,Once Were Warriors,movie
281,Poison Ivy II,movie
282,Outbreak,movie
283,Léon,movie
284,The Perez Family,movie
285,A Pyromaniac's Love Story,movie
286,Pulp Fiction,movie
287,The Pink Panther 2,movie
288,Tui shou,movie
289,Priest,movie
290,Quiz Show,movie
291,Picture Bride,movie
292,La reine Margot,movie
293,The Quick and the Dead,movie
294,Roommates,movie
295,Prêt-?Porter,movie
296,Trois couleurs: Rouge,movie
297,Trois couleurs: Bleu,movie
298,Trzy kolory: Bialy,movie
299,Pao Da Shuang Deng,movie
300,Rent-a-Kid,movie
70000,Annie Potts,actor
70001,Bill Farmer,actor
70002,Don Rickles,actor
70003,Erik von Detten,actor
70004,Greg Berg,actor
70005,Jack Angel,actor
70006,Jan Rabson,actor
70007,Jim Varney,actor
70008,Joan Cusack,actor
70009,Joe Ranft,actor
70010,John Morris,actor
70011,John Ratzenberger,actor
70012,Kendall Cunningham,actor
70013,Laurie Metcalf,actor
70014,Patrick Pinney,actor
70015,Penn Jillette,actor
70016,Philip Proctor,actor
70017,R. Lee Ermey,actor
70018,Sarah Freeman,actor
70019,Scott McAfee,actor
70020,Sherry Lynn,actor
70021,Tim Allen,actor
70022,Tom Hanks,actor
70023,Wallace Shawn,actor
70024,Peter Bryant,actor
70025,Adam Hann-Byrd,actor
70026,Bebe Neuwirth,actor
70027,Bonnie Hunt,actor
70028,Bradley Pierce,actor
70029,Darryl Henriques,actor
70030,David Alan Grier,actor
70031,David Hyde Pierce,actor
70032,Gillian Barber,actor
70033,James Handy,actor
70034,Jonathan Hyde,actor
70035,Kirsten Dunst,actor
70036,Laura Bell Bundy,actor
70037,Lloyd Berry,actor
70038,Malcolm Stewart,actor
70039,Patricia Clarkson,actor
70040,Robin Driscoll,actor
70041,Robin Williams,actor
70042,Ann-Margret,actor
70043,Buck Henry,actor
70044,Buffy Sedlachek,actor
70045,Burgess Meredith,actor
70046,Christopher McDonald,actor
70047,Daryl Hannah,actor
70048,Isabell Monk,actor
70049,Jack Lemmon,actor
70050,Joe Howard,actor
70051,John Carroll Lynch,actor
70052,Kevin Pollak,actor
70053,Ollie Osterberg,actor
70054,Ossie Davis,actor
70055,Sharon Howard-Field,actor
70056,Steve Cochran,actor
70057,Walter Matthau,actor
70058,Leon,actor
70059,Angela Bassett,actor
70060,Brandon Hammond,actor
70061,Dennis Haysbert,actor
70062,Donald Faison,actor
70063,Ezra Swerdlow,actor
70064,Giancarlo Esposito,actor
70065,Graham Galloway,actor
70066,Gregory Hines,actor
70067,Jeffrey D. Sams,actor
70068,Lamont Johnson,actor
70069,Lela Rochon,actor
70070,Loretta Devine,actor
70071,Michael Beach,actor
70072,Mykelti Williamson,actor
70073,Starletta DuPois,actor
70074,Wendell Pierce,actor
70075,Wesley Snipes,actor
70076,Whitney Houston,actor
70077,Wren T. Brown,actor
70078,Ann Walker,actor
70079,Annie Meyers-Shyer,actor
70080,April Ortiz,actor
70081,B.D. Wong,actor
70082,Caroline Lagerfelt,actor
70083,Diane Keaton,actor
70084,Eugene Levy,actor
70085,George Newbern,actor
70086,Hallie Meyers-Shyer,actor
70087,Harris Laskaway,actor
70088,Jane Adams (II),actor
70089,Jonathan Emerson,actor
70090,Kate McGregor-Stewart,actor
70091,K.C. Colwell,actor
70092,Kieran Culkin,actor
70093,Kimberly Williams,actor
70094,Linda de Scenna,actor
70095,Martin Short,actor
70096,Mychael Bates,actor
70097,Peter Michael Goetz,actor
70098,Seth Kaplan,actor
70099,Shannon Kennedy,actor
70100,Steve Martin,actor
70101,Susan Beaubian,actor
70102,Tony Simotes,actor
70103,Wendy Worthington,actor
70104,Al Pacino,actor
70105,Amy Brenneman,actor
70106,Ashley Judd,actor
70107,Begonia Plaza,actor
70108,Bill McIntosh,actor
70109,Brian Libby,actor
70110,Bud Cort,actor
70111,Dan Martin,actor
70112,Daniel O'Haco,actor
70113,Danny Trejo,actor
70114,Diane Venora,actor
70115,Farrah Forke,actor
70116,Hank Azaria,actor
70117,Hazelle Goodman,actor
70118,Henry Rollins,actor
70119,Jeremy Piven,actor
70120,Jerry Trimble,actor
70121,Jon Voight,actor
70122,Kai Soremekun,actor
70123,Kenny Endoso,actor
70124,Kevin Gage,actor
70125,Kim Staunton,actor
70126,Kimberly Flynn,actor
70127,Mario Roberts,actor
70128,Martin Ferrero,actor
70129,Natalie Portman,actor
70130,Niki Harris,actor
70131,Patricia Healy,actor
70132,Paul Herman,actor
70133,Ray Buktenica,actor
70134,Rick Avery,actor
70135,Rick Marzan,actor
70136,Robert De Niro,actor
70137,Steven Ford,actor
70138,Susan Traylor,actor
70139,Ted Levine,actor
70140,Terry Miller,actor
70141,Thomas Rosales Jr.,actor
70142,Tom Noonan,actor
70143,Tom Sizemore,actor
70144,Tone-Loc,actor
70145,Val Kilmer,actor
70146,Wes Studi,actor
70147,William Fichtner,actor
70148,Xander Berkeley,actor
70149,Colin Campbell,actor
70150,John Williams (II),actor
70151,Paul Harvey,actor
70152,Audrey Hepburn,actor
70153,Bill Neff,actor
70154,Charles Harvey,actor
70155,David Ahdar,actor
70156,Ellen Corby,actor
70157,Emmett Vogan,actor
70158,Emory Parnell,actor
70159,Francis X. Bushman,actor
70160,Harvey B. Dunn,actor
70161,Humphrey Bogart,actor
70162,Joan Vohs,actor
70163,Kay Riehl,actor
70164,Kay E. Kuter,actor
70165,Marcel Dalio,actor
70166,Marcel Hillaire,actor
70167,Marion Ross,actor
70168,Marjorie Bennett,actor
70169,Martha Hyer,actor
70170,Nancy Kulp,actor
70171,Nella Walker,actor
70172,Otto Forrest,actor
70173,Rand Harper,actor
70174,Walter Hampden,actor
70175,William Holden,actor
70176,William Newman,actor
70177,Marian Seldes,actor
70178,Amy Wright,actor
70179,Blake Heron,actor
70180,Brad Renfro,actor
70181,Charles Rocket,actor
70182,Courtland Mead,actor
70183,Eric Schweig,actor
70184,Heath Lamberts,actor
70185,Jonathan Taylor Thomas,actor
70186,Kellen Hathaway,actor
70187,Lanny Flaherty,actor
70188,Michael McShane,actor
70189,Peter Mackenzie,actor
70190,Rachael Leigh Cook,actor
70191,Alan Clement,actor
70192,Allan Pinsker,actor
70193,Anthony Marino,actor
70194,Audra Lindley,actor
70195,Bernard Canepari,actor
70196,Bill Clement,actor
70197,Bill Dalzell III,actor
70198,Brad Moniz,actor
70199,Brian Smrz,actor
70200,Brian Delate,actor
70201,Brian Hutchison,actor
70202,Butch Luick,actor
70203,Callum Keith-King,actor
70204,Daniel R. Pagath,actor
70205,David Flick,actor
70206,Dean E. Wells,actor
70207,Diane Robin,actor
70208,Dixie Neyland Tymitz,actor
70209,Dorian Harewood,actor
70210,Douglas Rees,actor
70211,Ed Evanko,actor
70212,Faith Minton,actor
70213,Fred M. Waugh,actor
70214,Fred Mancuso,actor
70215,Gilbert B. Combs,actor
70216,Glenda Morgan Brown,actor
70217,Glenn Alan Gardner,actor
70218,Harold Surratt,actor
70219,Jack Erdie,actor
70220,Jack Skelly,actor
70221,Jay Caufield,actor
70222,Jean Pierre Nutini,actor
70223,Jean-Claude Van Damme,actor
70224,Jeff Habberstad,actor
70225,Jeff Hochendoner,actor
70226,Jeff Howell,actor
70227,Jeff Jimerson,actor
70228,Jennifer D. Bowser,actor
70229,John Hall,actor
70230,John Hateley,actor
70231,John Sterling,actor
70232,Jophery C. Brown,actor
70233,Karen Baldwin,actor
70234,Kate McNeil,actor
70235,Ken Milchick,actor
70236,Larry John Meyers,actor
70237,Luc Robitaille,actor
70238,Manny Perry,actor
70239,Mark Hager,actor
70240,Mark Kachowski,actor
70241,Michael Gaston,actor
70242,Michael R. Aubele,actor
70243,Mike Lange,actor
70244,Milton E. Thompson Jr.,actor
70245,Pat Brisson,actor
70246,Paul Mochnik,actor
70247,Paul Steigerwald,actor
70248,Phil Spano,actor
70249,Powers Boothe,actor
70250,Ray Laine,actor
70251,Raymond J. Barry,actor
70252,Rema D. Webb,actor
70253,Rick LeFevour,actor
70254,Rohn Thomas,actor
70255,Rosine 'Ace' Hatem,actor
70256,Ross Malinger,actor
70257,Steve Aronson,actor
70258,Thomas Saccio,actor
70259,Tommy Lafitte,actor
70260,Vinnie Sciullo,actor
70261,Whittni Wright,actor
70262,William Cameron,actor
70263,Alan Cumming,actor
70264,Billy Mitchell,actor
70265,Constantine Gregory,actor
70266,Desmond Llewelyn,actor
70267,Famke Janssen,actor
70268,Gottfried John,actor
70269,Izabella Scorupco,actor
70270,Joe Don Baker,actor
70271,Judi Dench,actor
70272,Michael Kitchen,actor
70273,Minnie Driver,actor
70274,Peter Majer,actor
70275,Pierce Brosnan,actor
70276,Ravil Isyanov,actor
70277,Robbie Coltrane,actor
70278,Samantha Bond,actor
70279,Sean Bean,actor
70280,Serena Gordon,actor
70281,Tchéky Karyo,actor
70282,Trevor Byfield,actor
70283,Mark Thompson,actor
70284,Aaron Sorkin,actor
70285,Andrew Steel,actor
70286,Anna Deavere Smith,actor
70287,Anne Haney,actor
70288,Annette Bening,actor
70289,Arthur Senzy,actor
70290,Beans Morocco,actor
70291,Beau Billingslea,actor
70292,Bernie McInerney,actor
70293,Clement von Franckenstein,actor
70294,David Paymer,actor
70295,Efrat Lavie,actor
70296,Frank Cavestani,actor
70297,Gail Strickland,actor
70298,George Murdock,actor
70299,Googy Gress,actor
70300,John Mahon,actor
70301,John Mahoney,actor
70302,Jordan Lund,actor
70303,Joseph Latimore,actor
70304,Joshua Malina,actor
70305,Karen Maruyama,actor
70306,Kathryn Ish,actor
70307,Leslie Bega,actor
70308,Martin Sheen,actor
70309,Mathew Saks,actor
70310,Maud Winchester,actor
70311,Michael Douglas,actor
70312,Michael J. Fox,actor
70313,Richard Dreyfuss,actor
70314,Nina Siemaszko,actor
70315,Richard Stahl,actor
70316,Rick Garcia,actor
70317,Ron Canada,actor
70318,Samantha Mathis,actor
70319,Shawna Waldron,actor
70320,Steve Gonzales,actor
70321,Taylor Nichols,actor
70322,Thom Barry,actor
70323,Tom Dahlgren,actor
70324,Wendie Malick,actor
70325,Alan Walls,actor
70326,Alton Ruff,actor
70327,Amy Yasbeck,actor
70328,Amy Yesbeck,actor
70329,Anne McVey,actor
70330,Audrey Baranishyn,actor
70331,Avery Schreiber,actor
70332,Barbaree Earl,actor
70333,Ben Livingston,actor
70334,Blane Savage,actor
70335,Carol Arthur,actor
70336,Casey King,actor
70337,Cherie Franklin,actor
70338,Chuck McCann,actor
70339,Cindy Marshall-Day,actor
70340,Clive Revill,actor
70341,Darla Haun,actor
70342,David DeLuise,actor
70343,David Savoy,actor
70344,Delores Nemiro,actor
70345,Dennon Rawles,actor
70346,Derek Mark Lochran,actor
70347,Elaine Ballace,actor
70348,Ezio Greggio,actor
70349,Gregg Binkley,actor
70350,Grinnell Morris,actor
70351,Harvey Korman,actor
70352,Henry Kaiser,actor
70353,Ira Miller,actor
70354,Jeffrey Broadhurst,actor
70355,Jennifer Crystal,actor
70356,Jim Peace,actor
70357,Jody Peterson,actor
70358,John Frayer,actor
70359,Johnny Cocktails,actor
70360,Jude Van Wormer,actor
70361,Karen Roe,actor
70362,Kathleen Kane,actor
70363,Kevin Scott Crawford,actor
70364,Leslie Nielsen,actor
70365,Leslie S. Sachs,actor
70366,Lisa Cordray,actor
70367,Loraine Shields,actor
70368,Lysette Anthony,actor
70369,Manette LaChance,actor
70370,Mark Blankfield,actor
70371,Matthew Porretta,actor
70372,Maura Nielsen,actor
70373,Megan Cavanagh,actor
70374,Megan Cavanaugh,actor
70375,Mel Brooks,actor
70376,Michael Connors,actor
70377,Nick Rempel,actor
70378,Peter MacNicol,actor
70379,Phillip Connery,actor
70380,Ric Coy,actor
70381,Richard Alan Stewart,actor
70382,Robin Shepard,actor
70383,Rudy De Luca,actor
70384,Sandra Rovetta,actor
70385,Sandy Johnson,actor
70386,Sharon Savoy,actor
70387,Shirley Kirkes,actor
70388,Sonje Fortag,actor
70389,Stan Mazin,actor
70390,Stephen Wolfe Smith,actor
70391,Steven Weber,actor
70392,Ted Sprague,actor
70393,Thea Nielsen,actor
70394,Tommy Koenig,actor
70395,Tony Griffin,actor
70396,Tricia McFarlin-Mattson,actor
70397,Vince Grant,actor
70398,Zale Kessler,actor
70399,William Roberts,actor
70400,Bill Bailey,actor
70401,Bob Hoskins,actor
70402,Brendan Fraser,actor
70403,Bridget Fonda,actor
70404,Christine Cavanaugh,actor
70405,Danny Mann,actor
70406,Donald Sinden,actor
70407,Garick Hagon,actor
70408,Jennifer Blanc,actor
70409,Jim Carter,actor
70410,Jim Cummings,actor
70411,Juliette Brewer,actor
70412,Kevin Bacon,actor
70413,Lola Bates-Campbell,actor
70414,Michael J. Shannon,actor
70415,Miriam Margolyes,actor
70416,Phil Collins,actor
70417,Robbie Rist,actor
70418,Sandra Dickinson,actor
70419,Kevin Dunn,actor
70420,Annabeth Gish,actor
70421,Anthony Hopkins,actor
70422,Ling Bai,actor
70423,Bill Bolender,actor
70424,Boris Sichkin,actor
70425,Brian Bedford,actor
70426,Bridgette Wilson,actor
70427,Charles Haugk,actor
70428,Chuck Preiffer,actor
70429,Clayton Townsend,actor
70430,Corey Carrier,actor
70431,Dan Hedaya,actor
70432,David Barry Gray,actor
70433,Donna Dixon,actor
70434,Drew Snyder,actor
70435,Ed Harris,actor
70436,Edward Herrmann,actor
70437,E.G. Marshall,actor
70438,Fima Noveck,actor
70439,Fyvush Finkel,actor
70440,George Plimpton,actor
70441,Harry Murphy,actor
70442,Howard Platt,actor
70443,Jack Wallace,actor
70444,James Karen,actor
70445,James Pickens Jr.,actor
70446,James Woods,actor
70447,Joan Allen,actor
70448,Joanna Going,actor
70449,John Bedford Lloyd,actor
70450,John C. McGinley,actor
70451,John Cunningham,actor
70452,John Diehl,actor
70453,John Stockwell,actor
70454,Jon Tenney,actor
70455,J.T. Walsh,actor
70456,Julie Araskog,actor
70457,Julie Condra,actor
70458,Larry Hagman,actor
70459,Lenny Vullo,actor
70460,Madeline Kahn,actor
70461,Marilyn Rockafellow,actor
70462,Marley Shelton,actor
70463,Mary Steenburgen,actor
70464,Michael Chiklis,actor
70465,Michael Herz & Llyod Kauf...,actor
70466,Oliver Stone,actor
70467,O'Neal Compton,actor
70468,Paul Sorvino,actor
70469,Power Booth,actor
70470,Ric Young,actor
70471,Richard Fancy,actor
70472,Robert Beltran,actor
70473,Robert Marshall,actor
70474,Ronald Von Klaussen,actor
70475,Saul Rubinek,actor
70476,Sean Stone,actor
70477,Tom Bower,actor
70478,Tony Goldwyn,actor
70479,Tony Lo Bianco,actor
70480,Tony Plana,actor
70481,Victor Rivers,actor
70482,Wilson Cruz,actor
70483,Carl Chase,actor
70484,Chris Johnston,actor
70485,Christopher Adamson,actor
70486,Christopher Kennedy Maste...,actor
70487,Christopher Masterson,actor
70488,Dickey Beer,actor
70489,Frank Langella,actor
70490,Geena Davis,actor
70491,George Murcell,actor
70492,Harris Yulin,actor
70493,Jimmie F. Skaggs,actor
70494,Ken Bones,actor
70495,Mary Peach,actor
70496,Matthew Modine,actor
70497,Maury Chaykin,actor
70498,Patrick Malahide,actor
70499,Paul Dillon,actor
70500,Peter Geeves,actor
70501,Rex Linn,actor
70502,Roger Booth,actor
70503,Rupert Vansittart,actor
70504,Stan Shaw,actor
70505,Tam White,actor
70506,Thomas Lockyer,actor
70507,Joe Bob Briggs,actor
70508,Alan King,actor
70509,Andy Jarrell,actor
70510,Anthony Russell,actor
70511,Audrey Meadows,actor
70512,Bill Allison,actor
70513,Bret McCormick,actor
70514,Brian Reddy,actor
70515,Cameron Milzer,actor
70516,Carl Ciarfalio,actor
70517,Catherine Scorsese,actor
70518,Clem Caserta,actor
70519,Craig Vincent,actor
70520,Daniel P. Conte,actor
70521,David Rose,actor
70522,David Varriale,actor
70523,Dean Casper,actor
70524,Dick Smothers,actor
70525,Eric Randall,actor
70526,Erika vonTagen,actor
70527,Frank Adonis,actor
70528,Frank Vincent,actor
70529,Frankie Avalon,actor
70530,Fred Smith,actor
70531,Jack Orend,actor
70532,Jayne Meadows,actor
70533,Jed Mills,actor
70534,Jerry Vale,actor
70535,Joe La Due,actor
70536,Joe Pesci,actor
70537,Joey de Pinto,actor
70538,John Manca,actor
70539,Joseph Bono,actor
70540,Joseph P. Reidy,actor
70541,Linda Perri,actor
70542,L.Q. Jones,actor
70543,Max Raven,actor
70544,Melissa Prophet,actor
70545,Mitch Kolpan,actor
70546,Oscar Goodman,actor
70547,Pasquale Cajano,actor
70548,Peter Conti,actor
70549,Philip Suriano,actor
70550,Richard Riehle,actor
70551,Richard Wagner,actor
70552,Ronald Maccone,actor
70553,Roy Conrad,actor
70554,Sasha Semenoff,actor
70555,Sharon Stone,actor
70556,Sly Smith,actor
70557,Sonny D'Angelo,actor
70558,Steve Allen,actor
70559,Steve Vignari,actor
70560,Stuart Nisbet,actor
70561,Toru Nagai,actor
70562,Tyde Kierney,actor
70563,Vinny Vella Sr.,actor
70564,Alan Rickman,actor
70565,Alexander John,actor
70566,Elizabeth Spriggs,actor
70567,Emile Francois,actor
70568,Emilie François,actor
70569,Emma Thompson,actor
70570,Gemma Jones,actor
70571,Greg Wise,actor
70572,Harriet Walter,actor
70573,Hugh Grant,actor
70574,Hugh Laurie,actor
70575,Imelda Staunton,actor
70576,Imogen Stubbs,actor
70577,James Fleet,actor
70578,Kate Winslet,actor
70579,Oliver Ford Davies,actor
70580,Richard Lumsden,actor
70581,Robert Hardy,actor
70582,Tom Wilkinson,actor
70583,Marc Lawrence I,actor
70584,Alicia Witt,actor
70585,Amanda De Cadenet,actor
70586,Antonio Banderas,actor
70587,Bruce Willis,actor
70588,David Proval,actor
70589,Ione Skye,actor
70590,Jennifer Beals,actor
70591,Kathy Griffin,actor
70592,Lawrence Bender,actor
70593,Lili Taylor,actor
70594,Madonna,actor
70595,Marisa Tomei,actor
70596,Paul Calderon,actor
70597,Paul Skemp,actor
70598,Quentin Tarantino,actor
70599,Salma Hayek,actor
70600,Sammi Davis,actor
70601,Tamlyn Tomita,actor
70602,Tim Roth,actor
70603,Valeria Golino,actor
70604,Adewale Akinnuoye-Agbaje,actor
70605,"Arsenio ""Sonny"" Trinidad",actor
70606,Bob Gunton,actor
70607,Bruce Spence,actor
70608,Danny D. Daniels,actor
70609,Dev Kennedy,actor
70610,Ian McNeice,actor
70611,Jim Carrey,actor
70612,Maynard Eziashi,actor
70613,Michael Reid Mackay,actor
70614,Patti Tippo,actor
70615,Simon Callow,actor
70616,Sophie Okonedo,actor
70617,Tommy Davidson,actor
70618,Aida Turturro,actor
70619,Alvaleta Guess,actor
70620,Angel Caban,actor
70621,Bill Nunn,actor
70622,Chris Cooper,actor
70623,Christopher Anthony Young,actor
70624,David Tawil,actor
70625,Greg McKinney,actor
70626,Jack O'Connell,actor
70627,Jack A. O'Connell,actor
70628,Jennifer Lopez,actor
70629,Jeremy Roberts,actor
70630,Joe Grifasi,actor
70631,John Cenatiempo,actor
70632,John Norman Thomas,actor
70633,Jose Soto,actor
70634,Jose Zuniga,actor
70635,Michael Artura,actor
70636,Moss Porter,actor
70637,Nelson Vasquez,actor
70638,Oni Faida Lampley,actor
70639,Richard Grove,actor
70640,Robert Blake,actor
70641,Ron Ryan,actor
70642,Saul Stein,actor
70643,Scott Sowers,actor
70644,Sharon Schaffer,actor
70645,Skipp Sudduth,actor
70646,Steve Randazzo,actor
70647,Thomas G. Waites,actor
70648,Vincent Laresca,actor
70649,Vincent Pastore,actor
70650,Vincent Patrick,actor
70651,Woody Harrelson,actor
70652,Alex Rocco,actor
70653,Alfred Dennis,actor
70654,Barry Sonnenfeld,actor
70655,Bernard Hocke,actor
70656,Bette Midler,actor
70657,Bobby Slayton,actor
70658,Carlease Burke,actor
70659,Danny DeVito,actor
70660,David Groh,actor
70661,Delroy Lindo,actor
70662,Dennis Farina,actor
70663,Gene Hackman,actor
70664,Greg Goossen,actor
70665,Harvey Keitel,actor
70666,Jack Conley,actor
70667,Jacob Vargas,actor
70668,James Gandolfini,actor
70669,Jeffrey J. Stephan,actor
70670,John Cothran Jr.,actor
70671,John Travolta,actor
70672,Jon Gries,actor
70673,Linda Hart,actor
70674,Miguel Sandoval,actor
70675,Patrick Breen,actor
70676,Penny Marshall,actor
70677,Ralph Manza,actor
