id,start,end
394,12,70352
395,12,70353
396,12,70354
397,12,70355
398,12,70356
399,12,70357
400,12,70358
401,12,70359
402,12,70360
403,12,70361
404,12,70362
405,12,70363
406,12,70364
407,12,70365
408,12,70366
409,12,70367
410,12,70368
411,12,70369
412,12,70370
413,12,70371
414,12,70372
415,12,70373
416,12,70374
417,12,70375
418,12,70376
419,12,70377
420,12,70378
421,12,70379
422,12,70380
423,12,70381
424,12,70382
425,12,70383
426,12,70384
427,12,70385
428,12,70386
429,12,70387
430,12,70388
431,12,70389
432,12,70390
433,12,70391
434,12,70392
435,12,70393
436,12,70394
437,12,70395
438,12,70396
439,12,70397
440,12,70398
441,12,170011
442,12,180003
443,12,180010
444,13,70005
445,13,70399
446,13,70400
447,13,70401
448,13,70402
449,13,70403
450,13,70404
451,13,70405
452,13,70406
453,13,70407
454,13,70408
455,13,70409
456,13,70410
457,13,70411
458,13,70412
459,13,70413
460,13,70414
461,13,70415
462,13,70416
463,13,70417
464,13,70418
465,13,170012
466,13,180001
467,13,180002
468,14,70031
469,14,70249
470,14,70294
471,14,70401
472,14,70419
473,14,70420
474,14,70421
475,14,70422
476,14,70423
477,14,70424
478,14,70425
479,14,70426
480,14,70427
481,14,70428
482,14,70429
483,14,70430
484,14,70431
485,14,70432
486,14,70433
487,14,70434
488,14,70435
489,14,70436
490,14,70437
491,14,70438
492,14,70439
493,14,70440
494,14,70441
495,14,70442
496,14,70443
497,14,70444
498,14,70445
499,14,70446
500,14,70447
501,14,70448
502,14,70449
503,14,70450
504,14,70451
505,14,70452
506,14,70453
507,14,70454
508,14,70455
509,14,70456
510,14,70457
511,14,70458
512,14,70459
513,14,70460
514,14,70461
515,14,70462
516,14,70463
517,14,70464
518,14,70465
519,14,70466
520,14,70467
521,14,70468
522,14,70469
523,14,70470
524,14,70471
525,14,70472
526,14,70473
527,14,70474
528,14,70475
529,14,70476
530,14,70477
531,14,70478
532,14,70479
533,14,70480
534,14,70481
535,14,70482
536,14,170013
537,14,180006
538,15,70483
539,15,70484
540,15,70485
541,15,70486
542,15,70487
543,15,70488
544,15,70489
545,15,70490
546,15,70491
547,15,70492
548,15,70493
549,15,70494
550,15,70495
551,15,70496
552,15,70497
553,15,70498
554,15,70499
555,15,70500
556,15,70501
557,15,70502
558,15,70503
559,15,70504
560,15,70505
561,15,70506
562,15,170014
563,15,180000
564,15,180005
565,15,180007
566,16,70002
567,16,70052
568,16,70132
569,16,70136
570,16,70446
571,16,70507
572,16,70508
573,16,70509
574,16,70510
575,16,70511
576,16,70512
577,16,70513
578,16,70514
579,16,70515
580,16,70516
581,16,70517
582,16,70518
583,16,70519
584,16,70520
585,16,70521
586,16,70522
587,16,70523
588,16,70524
589,16,70525
590,16,70526
591,16,70527
592,16,70528
593,16,70529
594,16,70530
595,16,70531
596,16,70532
597,16,70533
598,16,70534
599,16,70535
600,16,70536
601,16,70537
602,16,70538
603,16,70539
604,16,70540
605,16,70541
606,16,70542
607,16,70543
608,16,70544
609,16,70545
610,16,70546
611,16,70547
612,16,70548
613,16,70549
614,16,70550
615,16,70551
616,16,70552
617,16,70553
618,16,70554
619,16,70555
620,16,70556
621,16,70557
622,16,70558
623,16,70559
624,16,70560
625,16,70561
626,16,70562
627,16,70563
628,16,170015
629,16,180006
630,16,180008
631,17,70564
632,17,70565
633,17,70566
634,17,70567
635,17,70568
636,17,70569
637,17,70570
638,17,70571
639,17,70572
640,17,70573
641,17,70574
642,17,70575
643,17,70576
644,17,70577
645,17,70578
646,17,70579
647,17,70580
648,17,70581
649,17,70582
650,17,170016
651,17,180003
652,17,180005
653,17,180006
654,18,70583
655,18,70584
656,18,70585
657,18,70586
658,18,70587
659,18,70588
660,18,70589
661,18,70590
662,18,70591
663,18,70592
664,18,70593
665,18,70594
666,18,70595
667,18,70596
668,18,70597
669,18,70598
670,18,70599
671,18,70600
672,18,70601
673,18,70602
674,18,70603
675,18,170017
676,18,180003
677,18,180006
678,18,180009
679,19,70285
680,19,70604
681,19,70605
682,19,70606
683,19,70607
684,19,70608
685,19,70609
686,19,70610
687,19,70611
688,19,70612
689,19,70613
690,19,70614
691,19,70615
692,19,70616
693,19,70617
694,19,170018
695,19,180003
696,20,70075
697,20,70545
698,20,70618
699,20,70619
700,20,70620
701,20,70621
702,20,70622
703,20,70623
704,20,70624
705,20,70625
706,20,70626
707,20,70627
708,20,70628
709,20,70629
710,20,70630
711,20,70631
712,20,70632
713,20,70633
714,20,70634
715,20,70635
716,20,70636
717,20,70637
718,20,70638
719,20,70639
720,20,70640
721,20,70641
722,20,70642
723,20,70643
724,20,70644
725,20,70645
726,20,70646
727,20,70647
728,20,70648
729,20,70649
730,20,70650
731,20,70651
732,20,170019
733,20,180003
734,20,180006
735,20,180007
736,20,180008
737,20,180009
738,21,70128
739,21,70294
740,21,70652
741,21,70653
742,21,70654
743,21,70655
744,21,70656
745,21,70657
746,21,70658
747,21,70659
748,21,70660
749,21,70661
750,21,70662
751,21,70663
752,21,70664
753,21,70665
754,21,70666
755,21,70667
756,21,70668
757,21,70669
758,21,70670
759,21,70671
760,21,70672
761,21,70673
762,21,70674
763,21,70675
764,21,70676
765,21,70677
766,21,70678
767,21,70679
768,21,70680
769,21,70681
770,21,70682
771,21,70683
772,21,170020
773,21,180003
774,21,180006
775,21,180007
776,22,70684
777,22,70685
778,22,70686
779,22,70687
780,22,70688
781,22,70689
782,22,70690
783,22,70691
784,22,70692
785,22,70693
786,22,70694
787,22,70695
788,22,70696
789,22,70697
790,22,70698
791,22,70699
792,22,70700
793,22,70701
794,22,70702
795,22,70703
796,22,70704
797,22,70705
798,22,70706
799,22,70707
800,22,70708
801,22,70709
802,22,70710
803,22,70711
804,22,70712
805,22,70713
806,22,70714
807,22,70715
808,22,70716
809,22,70717
810,22,70718
811,22,70719
812,22,70720
813,22,70721
814,22,70722
815,22,70723
816,22,70724
817,22,70725
818,22,70726
819,22,70727
820,22,70728
821,22,70729
822,22,70730
823,22,70731
824,22,70732
825,22,70733
826,22,70734
827,22,70735
828,22,70736
829,22,70737
830,22,70738
831,22,70739
832,22,70740
833,22,70741
834,22,70742
835,22,70743
836,22,70744
837,22,170021
838,22,180006
839,22,180008
840,22,180009
841,22,180010
842,22,180011
843,23,70745
844,23,70746
845,23,70747
846,23,70748
847,23,70749
848,23,70750
849,23,70751
850,23,70752
851,23,70753
852,23,70754
853,23,70755
854,23,70756
855,23,70757
856,23,70758
857,23,70759
858,23,70760
859,23,70761
860,23,70762
861,23,70763
862,23,70764
863,23,70765
864,23,70766
865,23,70767
866,23,70768
867,23,70769
868,23,70770
869,23,70771
870,23,70772
871,23,70773
872,23,70774
873,23,70775
874,23,70776
875,23,70777
876,23,70778
877,23,70779
878,23,70780
879,23,170022
880,23,180007
881,23,180008
882,23,180009
883,24,70463
884,24,70781
885,24,70782
886,24,70783
887,24,70784
888,24,70785
889,24,70786
890,24,70787
891,24,70788
892,24,70789
893,24,70790
894,24,70791
895,24,70792
896,24,70793
897,24,70794
898,24,70795
899,24,70796
900,24,70797
901,24,70798
902,24,70799
903,24,70800
904,24,70801
905,24,70802
906,24,70803
907,24,70804
908,24,70805
909,24,170023
910,24,180006
911,24,180012
912,25,70013
913,25,70017
914,25,70148
915,25,70391
916,25,70603
917,25,70806
918,25,70807
919,25,70808
920,25,70809
921,25,70810
922,25,70811
923,25,70812
924,25,70813
925,25,70814
926,25,70815
927,25,70816
928,25,70817
929,25,70818
930,25,70819
931,25,70820
932,25,70821
933,25,70822
934,25,70823
935,25,70824
936,25,70825
937,25,70826
938,25,70827
939,25,70828
940,25,70829
941,25,70830
942,25,70831
943,25,70832
944,25,70833
945,25,70834
946,25,70835
947,25,70836
948,25,70837
949,25,170024
950,25,180005
951,25,180006
952,26,70838
953,26,70839
954,26,70840
955,26,70841
956,26,70842
957,26,70843
958,26,70844
959,26,70845
960,26,70846
961,26,70847
962,26,70848
963,26,70849
964,26,70850
965,26,70851
966,26,70852
967,26,170025
968,26,180006
969,27,70027
970,27,70116
971,27,70402
972,27,70853
973,27,70854
974,27,70855
975,27,70856
976,27,70857
977,27,70858
978,27,70859
979,27,70860
980,27,70861
981,27,70862
982,27,70863
983,27,70864
984,27,70865
985,27,70866
986,27,70867
987,27,70868
988,27,70869
989,27,70870
990,27,70871
991,27,70872
992,27,70873
993,27,70874
994,27,70875
995,27,70876
996,27,70877
997,27,70878
998,27,70879
999,27,70880
1000,27,70881
1001,27,170026
1002,27,180006
1003,28,70882
1004,28,70883
1005,28,70884
1006,28,70885
1007,28,70886
1008,28,70887
1009,28,70888
1010,28,70889
1011,28,70890
1012,28,70891
1013,28,70892
1014,28,70893
1015,28,70894
1016,28,70895
1017,28,70896
1018,28,70897
1019,28,70898
1020,28,70899
1021,28,70900
1022,28,170027
1023,28,180005
1024,28,180006
1025,29,70901
1026,29,70902
1027,29,70903
1028,29,70904
1029,29,70905
1030,29,70906
1031,29,70907
1032,29,70908
1033,29,70909
1034,29,70910
1035,29,70911
1036,29,70912
1037,29,70913
1038,29,70914
1039,29,70915
1040,29,70916
1041,29,70917
1042,29,70918
1043,29,70919
1044,29,70920
1045,29,70921
1046,29,170028
1047,29,180000
1048,29,180004
1049,29,180006
1050,29,180011
1051,29,180012
1052,30,70922
1053,30,70923
1054,30,70924
1055,30,70925
1056,30,70926
1057,30,70927
1058,30,70928
1059,30,70929
1060,30,70930
1061,30,70931
1062,30,70932
1063,30,170029
1064,30,180006
1065,30,180008
1066,31,70933
1067,31,70934
1068,31,70935
1069,31,70936
1070,31,70937
1071,31,70938
1072,31,70939
1073,31,70940
1074,31,70941
1075,31,70942
1076,31,70943
1077,31,70944
1078,31,70945
1079,31,70946
1080,31,70947
1081,31,70948
1082,31,70949
1083,31,70950
1084,31,70951
1085,31,70952
1086,31,70953
1087,31,170030
1088,31,180006
1089,32,70954
1090,32,70955
1091,32,70956
1092,32,70957
1093,32,70958
1094,32,70959
1095,32,70960
1096,32,70961
1097,32,70962
1098,32,70963
1099,32,70964
1100,32,170031
1101,32,180009
1102,32,180012
1103,33,70145
1104,33,70965
1105,33,70966
1106,33,70967
1107,33,70968
1108,33,70969
1109,33,70970
1110,33,70971
1111,33,70972
1112,33,170032
1113,33,180000
1114,33,180005
1115,33,180013
1116,34,70182
1117,34,70404
1118,34,70405
1119,34,70415
1120,34,70973
1121,34,70974
1122,34,70975
1123,34,70976
1124,34,70977
1125,34,70978
1126,34,70979
1127,34,70980
1128,34,70981
1129,34,70982
1130,34,70983
1131,34,70984
1132,34,70985
1133,34,70986
1134,34,70987
1135,34,70988
1136,34,70989
1137,34,70990
1138,34,70991
1139,34,70992
1140,34,70993
1141,34,70994
1142,34,70995
1143,34,70996
1144,34,70997
1145,34,70998
1146,34,70999
1147,34,71000
1148,34,71001
1149,34,71002
1150,34,71003
1151,34,170033
1152,34,180002
1153,34,180003
1154,34,180004
1155,34,180006
1156,35,70569
1157,35,70897
1158,35,71004
1159,35,71005
1160,35,71006
1161,35,71007
1162,35,71008
1163,35,71009
1164,35,71010
1165,35,71011
1166,35,71012
1167,35,71013
1168,35,71014
1169,35,71015
1170,35,170034
1171,35,180005
1172,35,180006
1173,36,70017
1174,36,70251
1175,36,70643
1176,36,71016
1177,36,71017
1178,36,71018
1179,36,71019
1180,36,71020
1181,36,71021
1182,36,71022
1183,36,71023
1184,36,71024
1185,36,71025
1186,36,71026
1187,36,71027
1188,36,71028
1189,36,71029
1190,36,71030
1191,36,71031
1192,36,71032
1193,36,71033
1194,36,71034
1195,36,71035
1196,36,71036
1197,36,71037
1198,36,71038
1199,36,71039
1200,36,71040
1201,36,71041
1202,36,71042
1203,36,71043
1204,36,170035
1205,36,180006
1206,36,180008
1207,37,71044
1208,37,71045
1209,37,71046
1210,37,71047
1211,37,71048
1212,37,71049
1213,37,71050
1214,37,71051
1215,37,71052
1216,37,71053
1217,37,71054
1218,37,71055
1219,37,170036
1220,37,180013
1221,37,180014
1222,38,71056
1223,38,71057
1224,38,71058
1225,38,71059
1226,38,71060
1227,38,71061
1228,38,71062
1229,38,71063
1230,38,71064
1231,38,71065
1232,38,71066
1233,38,71067
1234,38,71068
1235,38,170037
1236,38,180003
1237,39,71069
1238,39,71070
1239,39,170038
1240,39,180003
1241,39,180005
1242,40,71071
1243,40,71072
1244,40,71073
1245,40,71074
1246,40,71075
1247,40,71076
1248,40,71077
1249,40,71078
1250,40,71079
1251,40,71080
1252,40,71081
1253,40,71082
1254,40,71083
1255,40,71084
1256,40,71085
1257,40,170039
1258,40,180006
1259,41,70288
1260,41,70409
1261,41,70896
1262,41,71086
1263,41,71087
1264,41,71088
1265,41,71089
1266,41,71090
1267,41,71091
1268,41,71092
1269,41,71093
1270,41,71094
1271,41,71095
1272,41,71096
1273,41,71097
1274,41,71098
1275,41,71099
1276,41,71100
1277,41,71101
1278,41,71102
1279,41,71103
1280,41,71104
1281,41,71105
1282,41,71106
1283,41,71107
1284,41,71108
1285,41,71109
1286,41,170040
1287,41,180006
1288,41,180015
1289,42,70308
1290,42,70432
1291,42,70445
1292,42,70619
1293,42,71110
1294,42,71111
1295,42,71112
1296,42,71113
1297,42,71114
1298,42,71115
1299,42,71116
1300,42,71117
1301,42,71118
1302,42,71119
1303,42,71120
1304,42,71121
1305,42,71122
1306,42,71123
1307,42,71124
1308,42,71125
1309,42,71126
1310,42,71127
1311,42,71128
1312,42,71129
1313,42,71130
1314,42,71131
1315,42,71132
1316,42,71133
1317,42,71134
1318,42,71135
1319,42,71136
1320,42,71137
1321,42,71138
1322,42,71139
1323,42,71140
1324,42,71141
1325,42,71142
1326,42,71143
1327,42,71144
1328,42,71145
1329,42,71146
1330,42,71147
1331,42,71148
1332,42,170041
1333,42,180006
1334,42,180007
1335,42,180008
1336,43,70573
1337,43,71097
1338,43,71106
1339,43,71149
1340,43,71150
1341,43,71151
1342,43,71152
1343,43,170042
1344,43,180006
1345,44,70426
1346,44,70625
1347,44,71153
1348,44,71154
1349,44,71155
1350,44,71156
1351,44,71157
1352,44,71158
1353,44,71159
1354,44,71160
1355,44,71161
1356,44,71162
1357,44,71163
1358,44,71164
1359,44,71165
1360,44,71166
1361,44,170043
1362,44,180000
1363,44,180004
1364,44,180007
1365,45,70587
1366,45,70773
1367,45,71167
1368,45,71168
1369,45,71169
1370,45,71170
1371,45,71171
1372,45,71172
1373,45,71173
1374,45,71174
1375,45,71175
1376,45,71176
1377,45,71177
1378,45,71178
1379,45,71179
1380,45,71180
1381,45,71181
1382,45,71182
1383,45,71183
1384,45,71184
1385,45,71185
1386,45,71186
1387,45,71187
1388,45,71188
1389,45,71189
1390,45,71190
1391,45,71191
1392,45,71192
1393,45,71193
1394,45,71194
1395,45,71195
1396,45,71196
1397,45,71197
1398,45,71198
1399,45,71199
1400,45,71200
1401,45,71201
1402,45,71202
1403,45,71203
1404,45,71204
1405,45,71205
1406,45,71206
1407,45,71207
1408,45,170044
1409,45,180003
1410,45,180006
1411,45,180009
1412,46,70072
1413,46,70297
1414,46,70318
1415,46,70448
1416,46,70698
1417,46,70981
1418,46,71028
1419,46,71208
1420,46,71209
1421,46,71210
1422,46,71211
1423,46,71212
1424,46,71213
1425,46,71214
1426,46,71215
1427,46,71216
1428,46,71217
1429,46,71218
1430,46,71219
1431,46,71220
1432,46,71221
1433,46,71222
1434,46,71223
1435,46,71224
1436,46,71225
1437,46,71226
1438,46,71227
1439,46,71228
1440,46,71229
1441,46,71230
1442,46,71231
1443,46,71232
1444,46,71233
1445,46,71234
1446,46,71235
1447,46,71236
1448,46,71237
1449,46,71238
1450,46,170045
1451,46,180005
1452,46,180006
1453,47,71239
1454,47,71240
1455,47,71241
1456,47,71242
1457,47,71243
1458,47,71244
1459,47,71245
1460,47,71246
1461,47,71247
1462,47,71248
1463,47,71249
1464,47,71250
1465,47,71251
1466,47,71252
1467,47,71253
1468,47,71254
1469,47,71255
1470,47,71256
1471,47,71257
1472,47,71258
1473,47,71259
1474,47,71260
1475,47,71261
1476,47,71262
1477,47,71263
1478,47,71264
1479,47,71265
1480,47,170046
1481,47,180008
1482,47,180009
1483,47,180010
1484,47,180011
1485,48,70405
1486,48,71266
1487,48,71267
1488,48,71268
1489,48,71269
1490,48,71270
1491,48,71271
1492,48,71272
1493,48,71273
1494,48,71274
1495,48,71275
1496,48,71276
1497,48,71277
1498,48,71278
1499,48,71279
1500,48,170047
1501,48,180001
1502,48,180002
1503,48,180005
1504,48,180016
1505,49,71280
1506,49,71281
1507,49,71282
1508,49,71283
1509,49,71284
1510,49,71285
1511,49,71286
1512,49,71287
1513,49,71288
1514,49,71289
1515,49,71290
1516,49,71291
1517,49,170048
1518,49,180005
1519,49,180006
1520,50,70052
1521,50,70064
1522,50,70431
1523,50,71292
1524,50,71293
1525,50,71294
1526,50,71295
1527,50,71296
1528,50,71297
1529,50,71298
1530,50,71299
1531,50,71300
1532,50,71301
1533,50,71302
1534,50,71303
1535,50,71304
1536,50,71305
1537,50,71306
1538,50,71307
1539,50,71308
1540,50,71309
1541,50,71310
1542,50,71311
1543,50,71312
1544,50,71313
1545,50,71314
1546,50,71315
1547,50,170049
1548,50,180008
1549,50,180009
1550,50,180011
1551,51,70132
1552,51,70646
1553,51,71147
1554,51,71268
1555,51,71316
1556,51,71317
1557,51,71318
1558,51,71319
1559,51,71320
1560,51,71321
1561,51,71322
1562,51,71323
1563,51,71324
1564,51,71325
1565,51,71326
1566,51,71327
1567,51,71328
1568,51,71329
1569,51,71330
1570,51,71331
1571,51,71332
1572,51,71333
1573,51,71334
1574,51,71335
1575,51,71336
1576,51,71337
1577,51,71338
1578,51,71339
1579,51,71340
1580,51,71341
1581,51,71342
1582,51,71343
1583,51,71344
1584,51,71345
1585,51,71346
1586,51,170050
1587,51,180003
1588,51,180005
1589,51,180006
1590,52,71347
1591,52,71348
1592,52,71349
1593,52,71350
1594,52,71351
1595,52,71352
1596,52,71353
1597,52,170051
1598,52,180000
1599,52,180006
1600,53,71068
1601,53,71354
1602,53,71355
1603,53,71356
1604,53,71357
1605,53,71358
1606,53,71359
1607,53,71360
1608,53,71361
1609,53,71362
1610,53,71363
1611,53,71364
1612,53,71365
1613,53,71366
1614,53,71367
1615,53,71368
1616,53,71369
1617,53,71370
1618,53,71371
1619,53,71372
1620,53,71373
1621,53,71374
1622,53,71375
1623,53,170052
1624,53,180002
1625,53,180003
1626,54,70698
1627,54,71376
1628,54,71377
1629,54,71378
1630,54,71379
1631,54,71380
1632,54,71381
1633,54,71382
1634,54,71383
1635,54,170053
1636,54,180006
1637,55,71384
1638,55,71385
1639,55,71386
1640,55,71387
1641,55,71388
1642,55,71389
1643,55,71390
1644,55,71391
1645,55,71392
1646,55,170054
1647,55,180000
1648,55,180002
1649,55,180004
1650,56,70327
1651,56,70708
1652,56,71068
1653,56,71106
1654,56,71212
1655,56,71216
1656,56,71393
1657,56,71394
1658,56,71395
1659,56,71396
1660,56,71397
1661,56,71398
1662,56,71399
1663,56,71400
1664,56,170055
1665,56,180006
1666,57,71401
1667,57,71402
1668,57,71403
1669,57,71404
1670,57,71405
1671,57,71406
1672,57,71407
1673,57,71408
1674,57,71409
1675,57,170056
1676,57,180003
1677,57,180005
1678,57,180006
1679,58,71100
1680,58,71410
1681,58,71411
1682,58,71412
1683,58,71413
1684,58,71414
1685,58,71415
1686,58,71416
1687,58,71417
1688,58,71418
1689,58,71419
1690,58,71420
1691,58,71421
1692,58,71422
1693,58,71423
1694,58,170057
1695,58,180006
1696,58,180011
1697,59,71233
1698,59,71424
1699,59,71425
1700,59,71426
1701,59,71427
1702,59,71428
1703,59,71429
1704,59,71430
1705,59,71431
1706,59,71432
1707,59,71433
1708,59,170058
1709,59,180000
1710,59,180002
1711,59,180004
1712,60,71434
1713,60,71435
1714,60,71436
1715,60,170059
1716,60,180006
1717,60,180009
1718,61,70313
1719,61,70584
1720,61,71145
1721,61,71337
1722,61,71437
1723,61,71438
1724,61,71439
1725,61,71440
1726,61,71441
1727,61,71442
1728,61,71443
1729,61,71444
1730,61,71445
1731,61,71446
1732,61,71447
1733,61,71448
1734,61,71449
1735,61,71450
1736,61,71451
1737,61,71452
1738,61,71453
1739,61,71454
1740,61,71455
1741,61,71456
1742,61,71457
1743,61,71458
1744,61,71459
1745,61,71460
1746,61,71461
1747,61,71462
1748,61,71463
1749,61,71464
1750,61,71465
1751,61,71466
1752,61,71467
1753,61,71468
1754,61,71469
1755,61,71470
1756,61,71471
1757,61,71472
1758,61,71473
1759,61,71474
1760,61,71475
1761,61,71476
1762,61,71477
1763,61,71478
1764,61,71479
1765,61,71480
1766,61,71481
1767,61,71482
1768,61,71483
1769,61,71484
1770,61,71485
1771,61,71486
1772,61,71487
1773,61,71488
1774,61,71489
1775,61,71490
1776,61,71491
1777,61,71492
1778,61,170060
1779,61,180006
1780,62,71493
1781,62,71494
1782,62,71495
1783,62,71496
1784,62,71497
1785,62,71498
1786,62,71499
1787,62,71500
1788,62,71501
1789,62,71502
1790,62,71503
1791,62,71504
1792,62,71505
1793,62,71506
1794,62,71507
1795,62,71508
1796,62,71509
1797,62,71510
1798,62,170061
1799,62,180003
1800,62,180008
1801,63,71511
1802,63,71512
1803,63,71513
1804,63,71514
1805,63,71515
1806,63,71516
1807,63,71517
1808,63,71518
1809,63,71519
1810,63,71520
1811,63,71521
1812,63,71522
1813,63,71523
1814,63,71524
1815,63,71525
1816,63,71526
1817,63,71527
1818,63,71528
1819,63,71529
1820,63,71530
1821,63,71531
1822,63,170062
1823,63,180003
1824,63,180005
1825,64,70016
1826,64,71024
1827,64,71313
1828,64,71532
1829,64,71533
1830,64,71534
1831,64,71535
1832,64,71536
1833,64,71537
1834,64,71538
1835,64,71539
1836,64,71540
1837,64,71541
1838,64,71542
1839,64,71543
1840,64,71544
1841,64,71545
1842,64,71546
1843,64,71547
1844,64,71548
1845,64,71549
1846,64,71550
1847,64,71551
1848,64,71552
1849,64,170063
1850,64,180003
1851,65,70123
1852,65,70471
1853,65,71297
1854,65,71553
1855,65,71554
1856,65,71555
1857,65,71556
1858,65,71557
1859,65,71558
1860,65,71559
1861,65,71560
1862,65,71561
1863,65,71562
1864,65,71563
1865,65,71564
1866,65,71565
1867,65,71566
1868,65,71567
1869,65,71568
1870,65,71569
1871,65,71570
1872,65,71571
